Namespace(cuda_num=0, epochs=150, label='mean', model='FECNet', name='FECNet-based_512_64', no_cuda=False, num_joints=13, num_points=4096, save_image=False, seed=1, sensor_sizeH=260, sensor_sizeW=346, train_batch_size=64, valid_batch_size=64)
Using GPU : 0 from 1 devices
Namespace(cuda_num=0, epochs=150, label='mean', model='FECNet', name='FECNet-based_512_64', no_cuda=False, num_joints=13, num_points=4096, save_image=False, seed=1, sensor_sizeH=260, sensor_sizeW=346, train_batch_size=96, valid_batch_size=96)
Using GPU : 0 from 1 devices
Valid 125 epoch, Acc: 0.947549, MPJPE2D: 6.206068, MPJPE3D: 70.954004
Valid 126 epoch, Acc: 0.947389, MPJPE2D: 6.209440, MPJPE3D: 71.144005
Valid 127 epoch, Acc: 0.948224, MPJPE2D: 6.192721, MPJPE3D: 70.867309
Valid 128 epoch, Acc: 0.948314, MPJPE2D: 6.193882, MPJPE3D: 70.800515
Valid 129 epoch, Acc: 0.947994, MPJPE2D: 6.235891, MPJPE3D: 71.303801
Valid 130 epoch, Acc: 0.948045, MPJPE2D: 6.193103, MPJPE3D: 70.794497
Valid 131 epoch, Acc: 0.948853, MPJPE2D: 6.184365, MPJPE3D: 70.725689
Valid 132 epoch, Acc: 0.948451, MPJPE2D: 6.181226, MPJPE3D: 70.595924
Valid 133 epoch, Acc: 0.948623, MPJPE2D: 6.179791, MPJPE3D: 70.462195
Valid 134 epoch, Acc: 0.948617, MPJPE2D: 6.159477, MPJPE3D: 70.365055
Valid 135 epoch, Acc: 0.948580, MPJPE2D: 6.149590, MPJPE3D: 70.264517
Valid 136 epoch, Acc: 0.947602, MPJPE2D: 6.186381, MPJPE3D: 70.657819
Valid 137 epoch, Acc: 0.949182, MPJPE2D: 6.134801, MPJPE3D: 70.033592
Valid 138 epoch, Acc: 0.947957, MPJPE2D: 6.172465, MPJPE3D: 70.234711
Valid 139 epoch, Acc: 0.948564, MPJPE2D: 6.153655, MPJPE3D: 70.336968
Valid 140 epoch, Acc: 0.949138, MPJPE2D: 6.136530, MPJPE3D: 70.116046
Valid 141 epoch, Acc: 0.947589, MPJPE2D: 6.217992, MPJPE3D: 70.940891
Valid 142 epoch, Acc: 0.948602, MPJPE2D: 6.172944, MPJPE3D: 70.420389
Valid 143 epoch, Acc: 0.947346, MPJPE2D: 6.225862, MPJPE3D: 71.214279
Valid 144 epoch, Acc: 0.948749, MPJPE2D: 6.153063, MPJPE3D: 70.094162
Valid 145 epoch, Acc: 0.947930, MPJPE2D: 6.200703, MPJPE3D: 70.493957
Valid 146 epoch, Acc: 0.948663, MPJPE2D: 6.177786, MPJPE3D: 70.438387
Valid 147 epoch, Acc: 0.948321, MPJPE2D: 6.204401, MPJPE3D: 71.019638
Valid 148 epoch, Acc: 0.948349, MPJPE2D: 6.184938, MPJPE3D: 70.898778
Valid 149 epoch, Acc: 0.947496, MPJPE2D: 6.204138, MPJPE3D: 70.831429
Valid 150 epoch, Acc: 0.947529, MPJPE2D: 6.231882, MPJPE3D: 71.051986
